wavenos,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
915,-0.007091842,0.000177633,0.003312511,-0.00128227,0.00417761,-0.01744933,-0.01529873,-0.001083137,-0.008216045,0.00820642,0.020586088,0.010964625,0.02920576,-0.016268721,0.035353931,-0.005683208,0.033445901,-0.000957876,-0.017185881,0,0.003655542,0.011345397,0.016817291,0.012509675,0.012760246,0.01358423,-0.060328357,0.001793055,-0.583978681,0.00213003,0.002772682,0.00538825,0.108024574
916,-0.00710622,0.001372244,0.004003432,0.000806374,0.001972231,-0.015369982,-0.018019145,0.000830708,-0.007274305,0.001183284,0.020565941,0.009569192,0.024937225,-0.014961379,0.033844081,-0.010201021,0.021428185,-0.000417039,-0.013724743,0,0.004122053,0.011815993,0.012364417,0.007886536,0.005096471,0.013580282,-0.06019834,0.001787298,-0.551332059,0.003561418,0.003016465,0.005401049,0.120996099
917,-0.006543234,0.001838786,0.004718232,0.003025198,0.000681014,-0.013769205,-0.019550989,0.001952099,-0.006161604,-0.005334238,0.019401547,0.008122833,0.019321532,-0.0134263,0.031994828,-0.014500388,0.009639322,0.000181081,-0.010377146,0,0.004543187,0.011878087,0.00849727,0.003251388,-0.00289111,0.012553744,-0.058333279,0.00176031,-0.495190304,0.004809399,0.003252792,0.005437776,0.137572831
918,-0.005675866,0.001778201,0.005390386,0.005297408,0.00034881,-0.012800653,-0.020081259,0.002312195,-0.005018681,-0.010733788,0.017243247,0.006716412,0.012974865,-0.012217936,0.030032583,-0.01777858,-0.000840813,0.000823544,-0.007268163,0,0.0048882,0.011486907,0.005582286,-0.00079012,-0.010061106,0.010761051,-0.055087106,0.001809453,-0.433867937,0.005871685,0.003485556,0.005508019,0.157085238
919,-0.004530276,0.001554418,0.005975151,0.007627136,0.001033368,-0.011832455,-0.019781684,0.001837185,-0.003894199,-0.014837315,0.014015138,0.005272883,0.00640735,-0.011207707,0.028069277,-0.019628394,-0.009899469,0.0014705,-0.004282721,0,0.005025251,0.010573922,0.003895889,-0.004717768,-0.015861571,0.008893501,-0.050446346,0.001859272,-0.373391691,0.006737074,0.003724551,0.005641166,0.182213721
920,-0.003387643,0.001255005,0.006412345,0.009761137,0.002411336,-0.010827874,-0.019000858,0.000705833,-0.002910573,-0.017518712,0.010112018,0.003862265,0.000418506,-0.009963251,0.026269358,-0.02002712,-0.017004993,0.001992273,-0.001544034,0,0.004935893,0.009254221,0.003353152,-0.008248144,-0.019961997,0.007369391,-0.045059031,0.001831871,-0.32216541,0.007332783,0.003945957,0.005801698,0.21181488
921,-0.002455257,0.000948801,0.006701689,0.011760075,0.004267479,-0.009649639,-0.017908694,-0.000920421,-0.002018539,-0.018962037,0.005794323,0.002354138,-0.004633819,-0.00753658,0.024561846,-0.019126201,-0.022576782,0.002557446,0.00118702,0,0.004473762,0.007556448,0.003976308,-0.011241441,-0.021811825,0.007022685,-0.038766957,0.00165669,-0.276514119,0.007709906,0.004158278,0.006003911,0.24579364
922,-0.001857196,0.000758319,0.006830858,0.013485095,0.006162064,-0.00833544,-0.016739288,-0.002649937,-0.001276318,-0.019362053,0.001688254,0.000929424,-0.008263861,-0.004427732,0.023085171,-0.017423209,-0.026514991,0.003276239,0.003799553,0,0.003664753,0.005751667,0.005494531,-0.013198444,-0.021239052,0.008151535,-0.032284586,0.001304889,-0.238591462,0.007926069,0.004326153,0.006230317,0.281664963
923,-0.001555775,0.000819925,0.006841799,0.015177214,0.008054388,-0.007207841,-0.015504289,-0.004286286,-0.000570691,-0.019064704,-0.002024459,-0.00037327,-0.010105035,-0.001525852,0.021730808,-0.014891259,-0.029489758,0.004202853,0.006384968,0,0.002436759,0.003977013,0.007918466,-0.014274454,-0.018109936,0.011315298,-0.025484387,0.000871677,-0.203782876,0.008081628,0.004475534,0.006506298,0.313315226
924,-0.001452248,0.001137195,0.006776033,0.016755008,0.009723751,-0.00639146,-0.014400342,-0.005469836,7.77E-05,-0.018334897,-0.004737568,-0.001447982,-0.010027614,0.00075397,0.020655392,-0.011918224,-0.031498343,0.005349077,0.008656304,0,0.000947189,0.002565435,0.010924609,-0.0145927,-0.013107517,0.016286102,-0.019281161,0.000470545,-0.174743595,0.008282298,0.00461526,0.006829541,0.333196517
