label,area,solidity,appr_len,appr_wid,polymer,best_pr
987,153.0,0.5666666666666667,30.0,9.0,error,0.0
1057,226.0,0.5485436893203883,34.828149534535996,11.0,error,0.0
1064,200.0,0.45871559633027525,44.598206241955516,7.5,error,0.0
1115,153.0,0.583969465648855,30.4138126514911,7.0,error,0.0
1116,130.0,0.5652173913043478,26.076809620810597,7.0,error,0.0
1138,203.0,0.5049751243781094,38.91015291668744,8.5,error,0.0
1141,165.0,0.5205047318611987,32.7566787083184,8.5,error,0.0
1150,211.0,0.4988179669030733,36.796738985948195,12.5,error,0.0
1158,101.0,0.5,28.653097563788805,7.0,error,0.0
1225,387.0,0.35086128739800543,58.05170109479997,19.5,error,0.0
1228,101.0,0.643312101910828,24.20743687382041,7.5,error,0.0
1262,120.0,0.47808764940239046,29.5296461204668,7.0,error,0.0
1298,155.0,0.5961538461538461,27.586228448267445,9.5,error,0.0
1335,176.0,0.5432098765432098,27.80287754891569,8.5,error,0.0
1342,111.0,0.5285714285714286,25.80697580112788,7.5,error,0.0
1361,245.0,0.4822834645669291,38.01315561749642,11.0,error,0.0
1368,143.0,0.5088967971530249,30.01666203960727,7.5,error,0.0
1386,169.0,0.6282527881040892,29.732137494637012,10.0,error,0.0
1445,128.0,0.43986254295532645,33.28663395418648,9.0,error,0.0
1484,112.0,0.64,27.85677655436824,5.0,error,0.0
1513,225.0,0.4563894523326572,49.040799340956916,15.5,error,0.0
1556,258.0,0.5201612903225806,39.66106403010388,11.0,error,0.0
1577,689.0,0.3980358174465627,67.62396025078685,21.0,error,0.0
1618,220.0,0.4612159329140461,37.20215047547655,11.0,error,0.0
1626,573.0,0.36707238949391413,85.47514258543241,20.5,error,0.0
1635,256.0,0.6666666666666666,33.97057550292606,11.5,error,0.0
1674,185.0,0.46835443037974683,42.01190307520001,13.0,error,0.0
1709,393.0,0.4253246753246753,51.86520991955976,14.5,error,0.0
1711,117.0,0.4588235294117647,30.528675044947494,8.0,error,0.0
1737,367.0,0.3908413205537806,58.728187440104094,20.0,error,0.0
1743,419.0,0.39528301886792455,59.07622195096772,16.5,error,0.0
1765,174.0,0.4254278728606357,36.71511950137164,9.0,error,0.0
1782,432.0,0.47734806629834253,56.60388679233962,15.0,error,0.0
1789,165.0,0.5769230769230769,29.206163733020468,9.0,error,0.0
1817,196.0,0.5568181818181818,37.8021163428716,11.5,error,0.0
1832,127.0,0.47388059701492535,30.4138126514911,7.0,error,0.0
1882,353.0,0.4325980392156863,58.008620049092706,17.0,error,0.0
1932,201.0,0.44175824175824174,38.58756276314948,10.0,error,0.0
1950,104.0,0.41106719367588934,28.0178514522438,8.0,error,0.0
1974,180.0,0.6716417910447762,29.732137494637012,10.0,error,0.0
2054,160.0,0.730593607305936,25.0,7.5,error,0.0
2080,989.0,0.4673913043478261,78.87331614684399,25.0,error,0.0
2098,261.0,0.5199203187250996,43.382023926967726,9.5,error,0.0
2097,706.0,0.4611365120836055,71.02816342831905,20.5,error,0.0
2136,359.0,0.49313186813186816,51.61395160225576,15.0,error,0.0
2145,109.0,0.5141509433962265,25.80697580112788,7.5,error,0.0
2157,124.0,0.4940239043824701,26.870057685088806,9.5,error,0.0
2166,137.0,0.6171171171171171,32.7566787083184,8.5,error,0.0
2172,142.0,0.5892116182572614,33.60059523282288,10.0,error,0.0
2175,1926.0,0.3416105001773679,143.60013927569847,30.5,error,0.0
2227,109.0,0.7730496453900709,23.021728866442675,6.5,error,0.0
2272,134.0,0.5606694560669456,28.0178514522438,8.0,error,0.0
2280,181.0,0.6350877192982456,33.24154027718932,11.5,error,0.0
2284,284.0,0.4409937888198758,44.40720662234904,13.0,error,0.0
2292,683.0,0.40727489564698865,72.83543093852057,25.5,error,0.0
2311,108.0,0.7397260273972602,23.430749027719962,7.5,error,0.0
2350,907.0,0.4625191228964814,90.44335243676011,14.0,error,0.0
2418,102.0,0.6375,20.518284528683193,7.0,error,0.0
2419,193.0,0.46618357487922707,43.382023926967726,9.5,error,0.0
2456,149.0,0.6930232558139535,24.758836806279895,8.5,error,0.0
2501,579.0,0.5039164490861618,53.81449618829484,18.0,error,0.0
2514,797.0,0.5006281407035176,79.12016177940993,14.0,error,0.0
2525,482.0,0.600997506234414,55.362442142665635,9.5,error,0.0
2626,101.0,0.7266187050359713,20.12461179749811,4.5,error,0.0
2643,190.0,0.4859335038363171,45.45327270945405,14.5,error,0.0
2675,435.0,0.5390334572490706,53.81449618829484,18.0,error,0.0
2732,284.0,0.538899430740038,39.698866482558415,13.0,error,0.0
2747,185.0,0.4946524064171123,41.773197148410844,14.0,error,0.0
2746,451.0,0.449203187250996,52.15361924162119,14.0,error,0.0
2750,157.0,0.585820895522388,31.78049716414141,6.5,error,0.0
2792,117.0,0.585,26.90724809414742,9.0,error,0.0
2798,163.0,0.5191082802547771,31.144823004794873,10.5,error,0.0
2826,545.0,0.5482897384305835,61.84658438426491,19.5,error,0.0
2834,974.0,0.5821876867901973,68.24954212300622,21.5,error,0.0
2876,141.0,0.5280898876404494,30.0,9.0,error,0.0
